Period,Country,Indicator,Value
2017-Q4,Brazil,Total Population 15+ by area - Urban,140137628.0
2017-Q3,Brazil,Total Population 15+ by area - Urban,139563825.0
2017-Q2,Brazil,Total Population 15+ by area - Urban,139119462.0
2017-Q1,Brazil,Total Population 15+ by area - Urban,138507628.0
2016-Q4,Brazil,Total Population 15+ by area - Urban,138206795.0
2016-Q3,Brazil,Total Population 15+ by area - Urban,137813130.0
2016-Q2,Brazil,Total Population 15+ by area - Urban,137235364.0
2016-Q1,Brazil,Total Population 15+ by area - Urban,136630412.0
2024-Q3,Brazil,Total Workers - Total,102930477.0
2024-Q2,Brazil,Total Workers - Total,101722693.0
2024-Q3,Mexico,Total Population 15+ - Total,101556441.0
2024-Q2,Mexico,Total Population 15+ - Total,101099026.0
2024-Q1,Mexico,Total Population 15+ - Total,101078682.0
2023-Q4,Brazil,Total Workers - Total,100864856.0
2023-Q4,Mexico,Total Population 15+ - Total,100768254.0
2023-Q3,Mexico,Total Population 15+ - Total,100527643.0
2024-Q1,Brazil,Total Workers - Total,100082645.0
2023-Q2,Mexico,Total Population 15+ - Total,99994978.0
2023-Q3,Brazil,Total Workers - Total,99744051.0
2023-Q1,Mexico,Total Population 15+ - Total,99688374.0
2022-Q4,Mexico,Total Population 15+ - Total,99450780.0
2022-Q4,Brazil,Total Workers - Total,99260312.0
2022-Q3,Mexico,Total Population 15+ - Total,99153209.0
2022-Q3,Brazil,Total Workers - Total,99139934.0
2022-Q2,Mexico,Total Population 15+ - Total,98990099.0
2023-Q2,Brazil,Total Workers - Total,98807652.0
2022-Q1,Mexico,Total Population 15+ - Total,98795518.0
2021-Q4,Mexico,Total Population 15+ - Total,98396912.0
2022-Q2,Brazil,Total Workers - Total,98132353.0
2021-Q3,Mexico,Total Population 15+ - Total,98034691.0
2023-Q1,Brazil,Total Workers - Total,97710555.0
2021-Q2,Mexico,Total Population 15+ - Total,97586344.0
2021-Q1,Mexico,Total Population 15+ - Total,96875941.0
2020-Q4,Mexico,Total Population 15+ - Total,96562223.0
2020-Q3,Mexico,Total Population 15+ - Total,96276185.0
2021-Q4,Brazil,Total Workers - Total,95609474.0
2019-Q4,Brazil,Total Workers - Total,95386149.0
2022-Q1,Brazil,Total Workers - Total,95143645.0
2020-Q1,Mexico,Total Population 15+ - Total,95087439.0
2019-Q4,Mexico,Total Population 15+ - Total,94652377.0
2019-Q3,Brazil,Total Workers - Total,94612015.0
2019-Q3,Mexico,Total Population 15+ - Total,94136136.0
2019-Q2,Brazil,Total Workers - Total,94042374.0
2019-Q2,Mexico,Total Population 15+ - Total,93737094.0
2018-Q4,Brazil,Total Workers - Total,93407014.0
2019-Q1,Mexico,Total Population 15+ - Total,93270694.0
2020-Q1,Brazil,Total Workers - Total,93019984.0
2021-Q3,Brazil,Total Workers - Total,92853766.0
2018-Q3,Brazil,Total Workers - Total,92805008.0
2018-Q4,Mexico,Total Population 15+ - Total,92769330.0
2024-Q3,Brazil,Total Workers by area - Urban,92702956.0
2019-Q1,Brazil,Total Workers - Total,92475916.0
2018-Q3,Mexico,Total Population 15+ - Total,92393260.0
2017-Q4,Brazil,Total Workers - Total,92090968.0
2018-Q2,Mexico,Total Population 15+ - Total,91855640.0
2024-Q2,Brazil,Total Workers by area - Urban,91483524.0
2018-Q2,Brazil,Total Workers - Total,91349710.0
2018-Q1,Mexico,Total Population 15+ - Total,91305870.0
2017-Q3,Brazil,Total Workers - Total,91135038.0
2018-Q1,Brazil,Total Workers - Total,90743553.0
2017-Q4,Mexico,Total Population 15+ - Total,90712089.0
2023-Q4,Brazil,Total Workers by area - Urban,90680974.0
2016-Q1,Brazil,Total Workers - Total,90553716.0
2016-Q2,Brazil,Total Workers - Total,90550365.0
2017-Q3,Mexico,Total Population 15+ - Total,90184134.0
2017-Q2,Brazil,Total Workers - Total,90076910.0
2024-Q1,Brazil,Total Workers by area - Urban,90070862.0
2016-Q4,Brazil,Total Workers - Total,90052737.0
2017-Q2,Mexico,Total Population 15+ - Total,89775856.0
2024-Q3,Brazil,Total Population 15+ by sex - Female,89751971.0
2016-Q3,Brazil,Total Workers - Total,89694206.0
2024-Q2,Brazil,Total Population 15+ by sex - Female,89541548.0
2024-Q1,Brazil,Total Population 15+ by sex - Female,89351028.0
2021-Q2,Brazil,Total Workers - Total,89291940.0
2017-Q1,Mexico,Total Population 15+ - Total,89289581.0
2023-Q4,Brazil,Total Population 15+ by sex - Female,89188910.0
2023-Q3,Brazil,Total Workers by area - Urban,89187273.0
2016-Q4,Mexico,Total Population 15+ - Total,89076614.0
2023-Q3,Brazil,Total Population 15+ by sex - Female,88973092.0
2023-Q2,Brazil,Total Population 15+ by sex - Female,88772911.0
2017-Q1,Brazil,Total Workers - Total,88711645.0
2016-Q3,Mexico,Total Population 15+ - Total,88661813.0
2023-Q1,Brazil,Total Population 15+ by sex - Female,88637957.0
2022-Q4,Brazil,Total Workers by area - Urban,88496971.0
2022-Q4,Brazil,Total Population 15+ by sex - Female,88410520.0
2023-Q2,Brazil,Total Workers by area - Urban,88380383.0
2016-Q2,Mexico,Total Population 15+ - Total,88323379.0
2022-Q3,Brazil,Total Population 15+ by sex - Female,88224566.0
2022-Q3,Brazil,Total Workers by area - Urban,88123529.0
2022-Q2,Brazil,Total Population 15+ by sex - Female,87999962.0
2016-Q1,Mexico,Total Population 15+ - Total,87911754.0
2022-Q1,Brazil,Total Population 15+ by sex - Female,87818432.0
2021-Q4,Brazil,Total Population 15+ by sex - Female,87557449.0
2023-Q1,Brazil,Total Workers by area - Urban,87405946.0
2021-Q3,Brazil,Total Population 15+ by sex - Female,87313993.0
2022-Q2,Brazil,Total Workers by area - Urban,87165357.0
2020-Q4,Brazil,Total Workers - Total,87127800.0
2021-Q2,Brazil,Total Population 15+ by sex - Female,87050940.0
2021-Q1,Brazil,Total Workers - Total,86995797.0
2021-Q1,Brazil,Total Population 15+ by sex - Female,86883147.0
2020-Q4,Brazil,Total Population 15+ by sex - Female,86649388.0
2020-Q3,Brazil,Total Population 15+ by sex - Female,86415996.0
2020-Q2,Brazil,Total Population 15+ by sex - Female,86232417.0
2016-Q4,Brazil,Total Population 15+ by educational attainment - Low,86171322.0
2020-Q1,Brazil,Total Population 15+ by sex - Female,86029352.0
2016-Q2,Brazil,Total Population 15+ by educational attainment - Low,85974480.0
2016-Q3,Brazil,Total Population 15+ by educational attainment - Low,85936069.0
2019-Q4,Brazil,Total Population 15+ by sex - Female,85759751.0
2019-Q3,Brazil,Total Population 15+ by sex - Female,85561535.0
2017-Q3,Brazil,Total Population 15+ by educational attainment - Low,85461531.0
2017-Q4,Brazil,Total Population 15+ by educational attainment - Low,85441406.0
2017-Q2,Brazil,Total Population 15+ by educational attainment - Low,85405527.0
2019-Q2,Brazil,Total Population 15+ by sex - Female,85354821.0
2016-Q1,Brazil,Total Population 15+ by educational attainment - Low,85326514.0
2019-Q1,Brazil,Total Population 15+ by sex - Female,85123046.0
2017-Q1,Brazil,Total Population 15+ by educational attainment - Low,84979269.0
2018-Q4,Brazil,Total Population 15+ by sex - Female,84917961.0
2021-Q4,Brazil,Total Workers by area - Urban,84669211.0
2018-Q3,Brazil,Total Population 15+ by sex - Female,84608542.0
2019-Q4,Brazil,Total Workers by area - Urban,84423740.0
2018-Q2,Brazil,Total Population 15+ by sex - Female,84387504.0
2022-Q1,Brazil,Total Workers by area - Urban,84376815.0
2018-Q1,Brazil,Total Population 15+ by sex - Female,84159985.0
2020-Q2,Brazil,Total Workers - Total,83983651.0
2018-Q2,Brazil,Total Population 15+ by educational attainment - Low,83977328.0
2017-Q4,Brazil,Total Population 15+ by sex - Female,83961950.0
2018-Q3,Brazil,Total Population 15+ by educational attainment - Low,83912091.0
2018-Q1,Brazil,Total Population 15+ by educational attainment - Low,83817541.0
2024-Q3,Brazil,Total Population 15+ by sex - Male,83785494.0
2017-Q3,Brazil,Total Population 15+ by sex - Female,83714432.0
2024-Q2,Brazil,Total Population 15+ by sex - Male,83623124.0
2019-Q3,Brazil,Total Workers by area - Urban,83488275.0
2024-Q1,Brazil,Total Population 15+ by sex - Male,83480881.0
2017-Q2,Brazil,Total Population 15+ by sex - Female,83461324.0
2018-Q4,Brazil,Total Population 15+ by educational attainment - Low,83405873.0
2020-Q3,Brazil,Total Workers - Total,83367106.0
2023-Q4,Brazil,Total Population 15+ by sex - Male,83253037.0
2017-Q1,Brazil,Total Population 15+ by sex - Female,83180061.0
2023-Q3,Brazil,Total Population 15+ by sex - Male,83055201.0
2019-Q3,Brazil,Total Population 15+ by educational attainment - Low,82954514.0
2016-Q4,Brazil,Total Population 15+ by sex - Female,82941942.0
2023-Q2,Brazil,Total Population 15+ by sex - Male,82882929.0
2019-Q2,Brazil,Total Workers by area - Urban,82829088.0
2023-Q1,Brazil,Total Population 15+ by sex - Male,82692845.0
2016-Q3,Brazil,Total Population 15+ by sex - Female,82690590.0
2022-Q4,Brazil,Total Population 15+ by sex - Male,82478132.0
2019-Q2,Brazil,Total Population 15+ by educational attainment - Low,82467930.0
2016-Q2,Brazil,Total Population 15+ by sex - Female,82419295.0
2018-Q4,Brazil,Total Workers by area - Urban,82303671.0
2020-Q1,Brazil,Total Workers by area - Urban,82277698.0
2022-Q3,Brazil,Total Population 15+ by sex - Male,82262621.0
2019-Q4,Brazil,Total Population 15+ by educational attainment - Low,82260103.0
2016-Q1,Brazil,Total Population 15+ by sex - Female,82191677.0
2022-Q2,Brazil,Total Population 15+ by sex - Male,82096965.0
2019-Q1,Brazil,Total Population 15+ by educational attainment - Low,82027027.0
2021-Q3,Brazil,Total Workers by area - Urban,81978780.0
2022-Q1,Brazil,Total Population 15+ by sex - Male,81895257.0
2018-Q3,Brazil,Total Workers by area - Urban,81724549.0
2021-Q4,Brazil,Total Population 15+ by sex - Male,81695767.0
2021-Q3,Brazil,Total Population 15+ by sex - Male,81536121.0
2019-Q1,Brazil,Total Workers by area - Urban,81533679.0
2021-Q2,Brazil,Total Population 15+ by sex - Male,81371576.0
2021-Q1,Brazil,Total Population 15+ by sex - Male,81111901.0
2017-Q4,Brazil,Total Workers by area - Urban,81097002.0
2020-Q4,Brazil,Total Population 15+ by sex - Male,80939336.0
2021-Q4,Brazil,Total Population 15+ by educational attainment - Low,80913777.0
2020-Q3,Brazil,Total Population 15+ by sex - Male,80736593.0
2020-Q2,Brazil,Total Population 15+ by sex - Male,80555680.0
2018-Q2,Brazil,Total Workers by area - Urban,80483613.0
2021-Q3,Brazil,Total Population 15+ by educational attainment - Low,80474639.0
2020-Q1,Brazil,Total Population 15+ by sex - Male,80314524.0
2019-Q4,Brazil,Total Population 15+ by sex - Male,80147376.0
2020-Q1,Brazil,Total Population 15+ by educational attainment - Low,80130943.0
2017-Q3,Brazil,Total Workers by area - Urban,80065163.0
2018-Q1,Brazil,Total Workers by area - Urban,80015482.0
2019-Q3,Brazil,Total Population 15+ by sex - Male,79930661.0
2024-Q3,Mexico,Total Population 15+ by area - Urban,79886593.0
2022-Q4,Brazil,Total Population 15+ by educational attainment - Low,79788030.0
2022-Q3,Brazil,Total Population 15+ by educational attainment - Low,79727386.0
2019-Q2,Brazil,Total Population 15+ by sex - Male,79720845.0
2022-Q1,Brazil,Total Population 15+ by educational attainment - Low,79693258.0
2024-Q1,Mexico,Total Population 15+ by area - Urban,79676421.0
2022-Q2,Brazil,Total Population 15+ by educational attainment - Low,79666168.0
2019-Q1,Brazil,Total Population 15+ by sex - Male,79505901.0
2024-Q2,Mexico,Total Population 15+ by area - Urban,79485922.0
2023-Q4,Mexico,Total Population 15+ by area - Urban,79427952.0
2018-Q4,Brazil,Total Population 15+ by sex - Male,79295449.0
2018-Q3,Brazil,Total Population 15+ by sex - Male,79139320.0
2023-Q3,Mexico,Total Population 15+ by area - Urban,79052277.0
2016-Q2,Brazil,Total Workers by area - Urban,79047193.0
2017-Q2,Brazil,Total Workers by area - Urban,79041709.0
2016-Q4,Brazil,Total Workers by area - Urban,78931764.0
2018-Q2,Brazil,Total Population 15+ by sex - Male,78889858.0
2016-Q1,Brazil,Total Workers by area - Urban,78800302.0
2023-Q2,Mexico,Total Population 15+ by area - Urban,78712081.0
2018-Q1,Brazil,Total Population 15+ by sex - Male,78694871.0
2023-Q1,Brazil,Total Population 15+ by educational attainment - Low,78686444.0
2021-Q2,Brazil,Total Workers by area - Urban,78587439.0
2023-Q2,Brazil,Total Population 15+ by educational attainment - Low,78513090.0
2023-Q1,Mexico,Total Population 15+ by area - Urban,78477145.0
2017-Q4,Brazil,Total Population 15+ by sex - Male,78474565.0
2016-Q3,Brazil,Total Workers by area - Urban,78439724.0
2020-Q3,Brazil,Total Population 15+ by educational attainment - Low,78438125.0
2021-Q2,Brazil,Total Population 15+ by educational attainment - Low,78379927.0
2020-Q2,Brazil,Total Population 15+ by educational attainment - Low,78334518.0
2022-Q4,Mexico,Total Population 15+ by area - Urban,78268346.0
2023-Q3,Brazil,Total Population 15+ by educational attainment - Low,78227762.0
2017-Q3,Brazil,Total Population 15+ by sex - Male,78209808.0
2023-Q4,Brazil,Total Population 15+ by educational attainment - Low,78148694.0
2020-Q4,Brazil,Total Population 15+ by educational attainment - Low,78050983.0
2022-Q3,Mexico,Total Population 15+ by area - Urban,78014371.0
2017-Q2,Brazil,Total Population 15+ by sex - Male,77988787.0
2017-Q1,Brazil,Total Workers by area - Urban,77853014.0
2022-Q2,Mexico,Total Population 15+ by area - Urban,77818178.0
2017-Q1,Brazil,Total Population 15+ by sex - Male,77775971.0
2022-Q1,Mexico,Total Population 15+ by area - Urban,77616761.0
2016-Q4,Brazil,Total Population 15+ by sex - Male,77537735.0
2021-Q1,Brazil,Total Population 15+ by educational attainment - Low,77512072.0
2016-Q3,Brazil,Total Population 15+ by sex - Male,77289425.0
2021-Q4,Mexico,Total Population 15+ by area - Urban,77248747.0
2016-Q2,Brazil,Total Population 15+ by sex - Male,77066565.0
2024-Q3,Brazil,Total Population 15+ by educational attainment - Low,77053105.0
2024-Q1,Brazil,Total Population 15+ by educational attainment - Low,76918144.0
2021-Q3,Mexico,Total Population 15+ by area - Urban,76911101.0
2024-Q2,Brazil,Total Population 15+ by educational attainment - Low,76790039.0
2016-Q1,Brazil,Total Population 15+ by sex - Male,76774290.0
2020-Q4,Brazil,Total Workers by area - Urban,76667599.0
2021-Q2,Mexico,Total Population 15+ by area - Urban,76624200.0
2021-Q1,Brazil,Total Workers by area - Urban,76502199.0
2021-Q1,Mexico,Total Population 15+ by area - Urban,76123254.0
2020-Q4,Mexico,Total Population 15+ by area - Urban,75784912.0
2020-Q3,Mexico,Total Population 15+ by area - Urban,75692385.0
2020-Q1,Mexico,Total Population 15+ by area - Urban,74696371.0
2019-Q4,Mexico,Total Population 15+ by area - Urban,74320556.0
2019-Q3,Mexico,Total Population 15+ by area - Urban,73932922.0
2020-Q2,Brazil,Total Workers by area - Urban,73879247.0
2019-Q2,Mexico,Total Population 15+ by area - Urban,73680936.0
2019-Q1,Mexico,Total Population 15+ by area - Urban,73316399.0
2020-Q3,Brazil,Total Workers by area - Urban,73245440.0
2018-Q4,Mexico,Total Population 15+ by area - Urban,72961676.0
2018-Q3,Mexico,Total Population 15+ by area - Urban,72645027.0
2018-Q2,Mexico,Total Population 15+ by area - Urban,72207405.0
2018-Q1,Mexico,Total Population 15+ by area - Urban,71753436.0
2017-Q4,Mexico,Total Population 15+ by area - Urban,71291704.0
2017-Q3,Mexico,Total Population 15+ by area - Urban,70868807.0
2017-Q2,Mexico,Total Population 15+ by area - Urban,70546073.0
2017-Q1,Mexico,Total Population 15+ by area - Urban,70171661.0
2016-Q4,Mexico,Total Population 15+ by area - Urban,69958351.0
2016-Q3,Mexico,Total Population 15+ by area - Urban,69580995.0
2016-Q2,Mexico,Total Population 15+ by area - Urban,69295270.0
2016-Q1,Mexico,Total Population 15+ by area - Urban,69015095.0
2024-Q3,Brazil,Total Population 15+ by educational attainment - Middle,68262806.0
2024-Q2,Brazil,Total Population 15+ by educational attainment - Middle,68132529.0
2024-Q1,Brazil,Total Population 15+ by educational attainment - Middle,67890406.0
2024-Q3,Brazil,Total Population 15+ by age - 25-44,67684292.0
2024-Q2,Brazil,Total Population 15+ by age - 25-44,67667351.0
2024-Q1,Brazil,Total Population 15+ by age - 25-44,67633130.0
2023-Q4,Brazil,Total Population 15+ by age - 25-44,67599354.0
2023-Q3,Brazil,Total Population 15+ by age - 25-44,67564570.0
2023-Q2,Brazil,Total Population 15+ by age - 25-44,67516820.0
2023-Q1,Brazil,Total Population 15+ by age - 25-44,67454317.0
2022-Q4,Brazil,Total Population 15+ by age - 25-44,67392413.0
2022-Q3,Brazil,Total Population 15+ by age - 25-44,67329761.0
2022-Q2,Brazil,Total Population 15+ by age - 25-44,67258614.0
2022-Q1,Brazil,Total Population 15+ by age - 25-44,67177599.0
2021-Q4,Brazil,Total Population 15+ by age - 25-44,67097182.0
2021-Q3,Brazil,Total Population 15+ by age - 25-44,67015665.0
2021-Q2,Brazil,Total Population 15+ by age - 25-44,66929251.0
2021-Q1,Brazil,Total Population 15+ by age - 25-44,66836387.0
2020-Q4,Brazil,Total Population 15+ by age - 25-44,66743843.0
2023-Q4,Brazil,Total Population 15+ by educational attainment - Middle,66743805.0
2020-Q3,Brazil,Total Population 15+ by age - 25-44,66650493.0
2023-Q3,Brazil,Total Population 15+ by educational attainment - Middle,66581977.0
2020-Q2,Brazil,Total Population 15+ by age - 25-44,66550873.0
2020-Q1,Brazil,Total Population 15+ by age - 25-44,66445864.0
2019-Q4,Brazil,Total Population 15+ by age - 25-44,66339633.0
2019-Q3,Brazil,Total Population 15+ by age - 25-44,66233309.0
2023-Q2,Brazil,Total Population 15+ by educational attainment - Middle,66192697.0
2019-Q2,Brazil,Total Population 15+ by age - 25-44,66120733.0
2023-Q1,Brazil,Total Population 15+ by educational attainment - Middle,66015943.0
2019-Q1,Brazil,Total Population 15+ by age - 25-44,66002451.0
2018-Q4,Brazil,Total Population 15+ by age - 25-44,65883917.0
2018-Q3,Brazil,Total Population 15+ by age - 25-44,65764307.0
2018-Q2,Brazil,Total Population 15+ by age - 25-44,65639698.0
2018-Q1,Brazil,Total Population 15+ by age - 25-44,65509949.0
2017-Q4,Brazil,Total Population 15+ by age - 25-44,65379724.0
2017-Q3,Brazil,Total Population 15+ by age - 25-44,65248949.0
2017-Q2,Brazil,Total Population 15+ by age - 25-44,65110888.0
2017-Q1,Brazil,Total Population 15+ by age - 25-44,64966177.0
2016-Q4,Brazil,Total Population 15+ by age - 25-44,64819979.0
2022-Q3,Brazil,Total Population 15+ by educational attainment - Middle,64751203.0
2016-Q3,Brazil,Total Population 15+ by age - 25-44,64673963.0
2022-Q4,Brazil,Total Population 15+ by educational attainment - Middle,64621415.0
2022-Q2,Brazil,Total Population 15+ by educational attainment - Middle,64593515.0
2016-Q2,Brazil,Total Population 15+ by age - 25-44,64524008.0
2022-Q1,Brazil,Total Population 15+ by educational attainment - Middle,64372439.0
2016-Q1,Brazil,Total Population 15+ by age - 25-44,64370453.0
2021-Q1,Brazil,Total Population 15+ by educational attainment - Middle,63823491.0
2021-Q2,Brazil,Total Population 15+ by educational attainment - Middle,63635454.0
2020-Q3,Brazil,Total Population 15+ by educational attainment - Middle,63437032.0
2020-Q4,Brazil,Total Population 15+ by educational attainment - Middle,63397349.0
2020-Q2,Brazil,Total Population 15+ by educational attainment - Middle,63285334.0
2021-Q4,Brazil,Total Population 15+ by educational attainment - Middle,63134735.0
2021-Q3,Brazil,Total Population 15+ by educational attainment - Middle,63105642.0
2020-Q1,Brazil,Total Population 15+ by educational attainment - Middle,62249867.0
2019-Q4,Brazil,Total Population 15+ by educational attainment - Middle,60518239.0
2019-Q4,Mexico,Total Population 15+ by educational attainment - Low,60317220.0
2020-Q1,Mexico,Total Population 15+ by educational attainment - Low,60272732.0
2019-Q3,Mexico,Total Population 15+ by educational attainment - Low,60165138.0
2019-Q2,Mexico,Total Population 15+ by educational attainment - Low,60052518.0
2023-Q3,Mexico,Total Population 15+ by educational attainment - Low,59853510.0
2019-Q2,Brazil,Total Population 15+ by educational attainment - Middle,59815731.0
2019-Q1,Brazil,Total Population 15+ by educational attainment - Middle,59805026.0
2024-Q1,Mexico,Total Population 15+ by educational attainment - Low,59768527.0
2019-Q1,Mexico,Total Population 15+ by educational attainment - Low,59767343.0
2023-Q2,Mexico,Total Population 15+ by educational attainment - Low,59696039.0
2021-Q2,Mexico,Total Population 15+ by educational attainment - Low,59686480.0
2023-Q4,Mexico,Total Population 15+ by educational attainment - Low,59683338.0
2020-Q4,Mexico,Total Population 15+ by educational attainment - Low,59675310.0
2019-Q3,Brazil,Total Population 15+ by educational attainment - Middle,59648910.0
2024-Q3,Mexico,Total Population 15+ by educational attainment - Low,59630436.0
2022-Q1,Mexico,Total Population 15+ by educational attainment - Low,59620795.0
2021-Q3,Mexico,Total Population 15+ by educational attainment - Low,59597890.0
2023-Q1,Mexico,Total Population 15+ by educational attainment - Low,59560662.0
2024-Q2,Mexico,Total Population 15+ by educational attainment - Low,59551085.0
2022-Q4,Mexico,Total Population 15+ by educational attainment - Low,59497916.0
2024-Q3,Mexico,Total Workers - Total,59491398.0
2022-Q2,Mexico,Total Population 15+ by educational attainment - Low,59465164.0
2018-Q4,Mexico,Total Population 15+ by educational attainment - Low,59446475.0
2016-Q3,Mexico,Total Population 15+ by educational attainment - Low,59432411.0
2018-Q3,Mexico,Total Population 15+ by educational attainment - Low,59429089.0
2022-Q3,Mexico,Total Population 15+ by educational attainment - Low,59408897.0
2016-Q4,Mexico,Total Population 15+ by educational attainment - Low,59399073.0
2023-Q4,Mexico,Total Workers - Total,59363084.0
2018-Q1,Mexico,Total Population 15+ by educational attainment - Low,59361677.0
2017-Q1,Mexico,Total Population 15+ by educational attainment - Low,59356863.0
2021-Q4,Mexico,Total Population 15+ by educational attainment - Low,59309700.0
2018-Q2,Mexico,Total Population 15+ by educational attainment - Low,59306104.0
2017-Q2,Mexico,Total Population 15+ by educational attainment - Low,59305552.0
2024-Q2,Mexico,Total Workers - Total,59292778.0
2020-Q3,Mexico,Total Population 15+ by educational attainment - Low,59270501.0
2021-Q1,Mexico,Total Population 15+ by educational attainment - Low,59244012.0
2017-Q4,Mexico,Total Population 15+ by educational attainment - Low,59136711.0
2017-Q3,Mexico,Total Population 15+ by educational attainment - Low,59129381.0
2023-Q3,Mexico,Total Workers - Total,59126376.0
2016-Q1,Mexico,Total Population 15+ by educational attainment - Low,59104608.0
2016-Q2,Mexico,Total Population 15+ by educational attainment - Low,59095934.0
2024-Q1,Mexico,Total Workers - Total,59094204.0
2018-Q4,Brazil,Total Population 15+ by educational attainment - Middle,58641502.0
2024-Q3,Brazil,Total Workers by sex - Male,58511181.0
2023-Q2,Mexico,Total Workers - Total,58488072.0
2023-Q1,Mexico,Total Workers - Total,58456940.0
2022-Q4,Mexico,Total Workers - Total,58310722.0
2018-Q3,Brazil,Total Population 15+ by educational attainment - Middle,58182694.0
2024-Q2,Brazil,Total Workers by sex - Male,58028394.0
2018-Q2,Brazil,Total Population 15+ by educational attainment - Middle,58018707.0
2018-Q1,Brazil,Total Population 15+ by educational attainment - Middle,57977939.0
2023-Q4,Brazil,Total Workers by sex - Male,57524104.0
2022-Q3,Mexico,Total Workers - Total,57398799.0
2022-Q2,Mexico,Total Workers - Total,57381270.0
2024-Q1,Brazil,Total Workers by sex - Male,57266181.0
2023-Q3,Brazil,Total Workers by sex - Male,56915064.0
2022-Q4,Brazil,Total Workers by sex - Male,56615411.0
2017-Q4,Brazil,Total Population 15+ by educational attainment - Middle,56595433.0
2022-Q3,Brazil,Total Workers by sex - Male,56581882.0
2021-Q4,Mexico,Total Workers - Total,56568108.0
2023-Q2,Brazil,Total Workers by sex - Male,56312317.0
2017-Q3,Brazil,Total Population 15+ by educational attainment - Middle,56258752.0
