Period,Country,Indicator,Value
2024-Q3,Costa Rica,Wage Employment (% of workers) - Women,78.0
2018-Q1,Costa Rica,Wage Employment (% of workers) - Women,77.9
2020-Q2,Chile,Wage Employment (% of workers) - Men,77.8
2021-Q3,Bolivia,Informality - Productivity definition - Women,77.8
2021-Q3,Costa Rica,Wage Employment (% of workers) - Women,77.8
2018-Q3,Costa Rica,Wage Employment (% of workers) - Women,77.7
2024-Q1,Chile,Wage Employment (% of workers) - Women,77.7
2020-Q3,Chile,Wage Employment (% of workers) - Total,77.6
2018-Q1,Argentina,Wage Employment (% of workers) - Women,77.6
2019-Q1,Argentina,Wage Employment (% of workers) - Women,77.5
2022-Q3,Costa Rica,Wage Employment (% of workers) - Women,77.4
2023-Q3,Argentina,Wage Employment (% of workers) - Women,77.4
2022-Q2,Bolivia,Informality - Productivity definition - Women,77.3
2024-Q3,Chile,Wage Employment (% of workers) - Women,77.3
2022-Q1,Chile,Wage Employment (% of workers) - Women,77.3
2022-Q4,Chile,Wage Employment (% of workers) - Women,77.3
2016-Q1,Costa Rica,Wage Employment (% of workers) - Total,77.3
2019-Q1,Costa Rica,Wage Employment (% of workers) - Women,77.3
2022-Q4,Costa Rica,Wage Employment (% of workers) - Women,77.2
2019-Q2,Argentina,Wage Employment (% of workers) - Women,77.2
2020-Q4,Chile,Wage Employment (% of workers) - Women,77.2
2023-Q1,Argentina,Wage Employment (% of workers) - Women,77.1
2024-Q2,Chile,Wage Employment (% of workers) - Women,77.1
2016-Q2,Costa Rica,Wage Employment (% of workers) - Total,77.0
2020-Q2,Argentina,Wage Employment (% of workers) - Total,77.0
2018-Q3,Argentina,Wage Employment (% of workers) - Women,76.9
2023-Q4,Chile,Wage Employment (% of workers) - Women,76.9
2020-Q1,Bolivia,Informality - Productivity definition - Women,76.9
2022-Q4,Bolivia,Informality - Productivity definition - Women,76.9
2020-Q3,Chile,Wage Employment (% of workers) - Men,76.9
2023-Q2,Argentina,Wage Employment (% of workers) - Women,76.9
2023-Q4,Argentina,Wage Employment (% of workers) - Women,76.8
2021-Q2,Chile,Wage Employment (% of workers) - Women,76.8
2023-Q1,Chile,Wage Employment (% of workers) - Women,76.8
2018-Q2,Argentina,Wage Employment (% of workers) - Women,76.8
2024-Q1,Argentina,Wage Employment (% of workers) - Women,76.7
2017-Q3,Uruguay,Wage Employment (% of workers) - Women,76.7
2023-Q3,Chile,Wage Employment (% of workers) - Women,76.7
2021-Q1,Chile,Wage Employment (% of workers) - Women,76.6
2021-Q2,Costa Rica,Wage Employment (% of workers) - Women,76.6
2022-Q1,Costa Rica,Wage Employment (% of workers) - Women,76.5
2019-Q3,Costa Rica,Wage Employment (% of workers) - Women,76.5
2023-Q2,Chile,Wage Employment (% of workers) - Women,76.5
2022-Q1,Argentina,Wage Employment (% of workers) - Women,76.5
2020-Q4,Costa Rica,Wage Employment (% of workers) - Women,76.4
2022-Q3,Bolivia,Informality - Productivity definition - Women,76.4
2024-Q1,Bolivia,Informality - Productivity definition - Women,76.4
2018-Q4,Costa Rica,Wage Employment (% of workers) - Women,76.4
2022-Q4,Argentina,Wage Employment (% of workers) - Women,76.4
2018-Q1,Uruguay,Wage Employment (% of workers) - Women,76.4
2018-Q4,Bolivia,Informality - Productivity definition - Women,76.3
2018-Q3,Uruguay,Wage Employment (% of workers) - Women,76.3
2017-Q4,Costa Rica,Wage Employment (% of workers) - Total,76.3
2021-Q1,Bolivia,Informality - Productivity definition - Total,76.3
2020-Q4,Chile,Wage Employment (% of workers) - Total,76.3
2016-Q3,Costa Rica,Wage Employment (% of workers) - Total,76.3
2018-Q2,Costa Rica,Wage Employment (% of workers) - Women,76.3
2021-Q2,Bolivia,Informality - Productivity definition - Total,76.3
2022-Q2,Chile,Wage Employment (% of workers) - Women,76.2
2017-Q1,Costa Rica,Wage Employment (% of workers) - Total,76.2
2023-Q1,Bolivia,Informality - Productivity definition - Women,76.2
2020-Q1,Argentina,Wage Employment (% of workers) - Women,76.2
2024-Q1,Chile,Wage Employment (% of workers) - Total,76.2
2019-Q4,Bolivia,Informality - Productivity definition - Women,76.1
2019-Q3,Argentina,Wage Employment (% of workers) - Women,76.1
2024-Q3,Chile,Wage Employment (% of workers) - Total,76.1
2018-Q1,Bolivia,Informality - Productivity definition - Women,76.1
2022-Q2,Argentina,Wage Employment (% of workers) - Women,76.1
2019-Q2,Costa Rica,Wage Employment (% of workers) - Women,76.1
2020-Q1,Chile,Wage Employment (% of workers) - Women,76.1
2022-Q2,Costa Rica,Wage Employment (% of workers) - Women,76.0
2022-Q3,Chile,Wage Employment (% of workers) - Women,76.0
2024-Q2,Argentina,Wage Employment (% of workers) - Women,76.0
2022-Q1,Chile,Wage Employment (% of workers) - Total,76.0
2021-Q4,Bolivia,Informality - Productivity definition - Total,76.0
2021-Q3,Chile,Wage Employment (% of workers) - Women,76.0
2019-Q1,Uruguay,Wage Employment (% of workers) - Women,76.0
2016-Q1,Peru,Informality - Productivity definition - Women,75.9
2022-Q4,Chile,Wage Employment (% of workers) - Total,75.9
2018-Q2,Bolivia,Informality - Productivity definition - Women,75.9
2021-Q1,Chile,Wage Employment (% of workers) - Total,75.9
2024-Q2,Bolivia,Informality - Productivity definition - Women,75.9
2021-Q1,Costa Rica,Wage Employment (% of workers) - Women,75.8
2021-Q2,Argentina,Wage Employment (% of workers) - Women,75.8
2017-Q4,Uruguay,Wage Employment (% of workers) - Women,75.8
2016-Q4,Uruguay,Wage Employment (% of workers) - Women,75.8
2024-Q2,Chile,Wage Employment (% of workers) - Total,75.8
2023-Q1,Costa Rica,Wage Employment (% of workers) - Total,75.8
2018-Q1,Costa Rica,Wage Employment (% of workers) - Total,75.8
2022-Q3,Argentina,Wage Employment (% of workers) - Women,75.7
2023-Q2,Costa Rica,Wage Employment (% of workers) - Total,75.7
2020-Q1,Costa Rica,Wage Employment (% of workers) - Women,75.7
2023-Q2,Bolivia,Informality - Productivity definition - Women,75.7
2023-Q1,Chile,Wage Employment (% of workers) - Total,75.7
2016-Q4,Costa Rica,Wage Employment (% of workers) - Total,75.7
2023-Q3,Bolivia,Informality - Productivity definition - Women,75.7
2023-Q3,Costa Rica,Wage Employment (% of workers) - Total,75.7
2020-Q4,Chile,Wage Employment (% of workers) - Men,75.6
2021-Q2,Chile,Wage Employment (% of workers) - Total,75.6
2016-Q3,Uruguay,Wage Employment (% of workers) - Women,75.6
2020-Q1,Chile,Wage Employment (% of workers) - Total,75.6
2016-Q2,Argentina,Wage Employment (% of workers) - Total,75.6
2017-Q3,Costa Rica,Wage Employment (% of workers) - Total,75.5
2016-Q3,Brazil,Wage Employment (% of workers) - Women,75.5
2023-Q4,Bolivia,Informality - Productivity definition - Women,75.5
2023-Q4,Chile,Wage Employment (% of workers) - Total,75.5
2024-Q3,Argentina,Wage Employment (% of workers) - Women,75.5
2024-Q3,Brazil,Wage Employment (% of workers) - Women,75.4
2019-Q4,Costa Rica,Wage Employment (% of workers) - Women,75.4
2023-Q2,Chile,Wage Employment (% of workers) - Total,75.4
2016-Q3,Argentina,Wage Employment (% of workers) - Total,75.4
2019-Q4,Argentina,Wage Employment (% of workers) - Women,75.4
2022-Q1,Bolivia,Informality - Productivity definition - Total,75.4
2018-Q4,Uruguay,Wage Employment (% of workers) - Women,75.4
2021-Q4,Costa Rica,Wage Employment (% of workers) - Women,75.4
2023-Q3,Chile,Wage Employment (% of workers) - Total,75.4
2021-Q1,Chile,Wage Employment (% of workers) - Men,75.4
2016-Q4,Argentina,Wage Employment (% of workers) - Total,75.4
2021-Q4,Chile,Wage Employment (% of workers) - Women,75.4
2019-Q3,Bolivia,Informality - Productivity definition - Women,75.3
2021-Q4,Argentina,Wage Employment (% of workers) - Women,75.3
2020-Q1,Chile,Wage Employment (% of workers) - Men,75.3
2021-Q3,Argentina,Wage Employment (% of workers) - Women,75.3
2019-Q2,Bolivia,Informality - Productivity definition - Women,75.3
2018-Q1,Argentina,Wage Employment (% of workers) - Total,75.3
2018-Q3,Bolivia,Informality - Productivity definition - Women,75.3
2018-Q1,Chile,Wage Employment (% of workers) - Women,75.2
2020-Q2,Costa Rica,Wage Employment (% of workers) - Total,75.2
2022-Q2,Chile,Wage Employment (% of workers) - Total,75.2
2017-Q1,Uruguay,Wage Employment (% of workers) - Women,75.2
2020-Q3,Costa Rica,Wage Employment (% of workers) - Women,75.2
2023-Q4,Costa Rica,Wage Employment (% of workers) - Total,75.1
2024-Q3,Chile,Wage Employment (% of workers) - Men,75.1
2024-Q1,Chile,Wage Employment (% of workers) - Men,75.1
2017-Q2,Uruguay,Wage Employment (% of workers) - Women,75.1
2017-Q2,Argentina,Wage Employment (% of workers) - Total,75.1
2019-Q1,Bolivia,Informality - Productivity definition - Women,75.1
2022-Q1,Chile,Wage Employment (% of workers) - Men,75.1
2016-Q4,Brazil,Wage Employment (% of workers) - Women,75.1
2016-Q2,Brazil,Wage Employment (% of workers) - Women,75.1
2024-Q2,Brazil,Wage Employment (% of workers) - Women,75.1
2016-Q1,Brazil,Wage Employment (% of workers) - Women,75.1
2017-Q4,Bolivia,Informality - Productivity definition - Women,75.1
2019-Q2,Uruguay,Wage Employment (% of workers) - Women,75.0
2018-Q3,Costa Rica,Wage Employment (% of workers) - Total,75.0
2016-Q2,Uruguay,Wage Employment (% of workers) - Women,75.0
2016-Q1,Chile,Wage Employment (% of workers) - Women,75.0
2022-Q3,Chile,Wage Employment (% of workers) - Total,75.0
2023-Q1,Chile,Wage Employment (% of workers) - Men,74.9
2016-Q1,Uruguay,Wage Employment (% of workers) - Women,74.9
2020-Q2,Argentina,Wage Employment (% of workers) - Men,74.9
2023-Q3,Argentina,Wage Employment (% of workers) - Total,74.9
2020-Q3,Argentina,Wage Employment (% of workers) - Women,74.9
2024-Q2,Costa Rica,Wage Employment (% of workers) - Total,74.8
2022-Q4,Chile,Wage Employment (% of workers) - Men,74.8
2017-Q2,Costa Rica,Wage Employment (% of workers) - Total,74.8
2016-Q1,Costa Rica,Wage Employment (% of workers) - Men,74.8
2021-Q2,Chile,Wage Employment (% of workers) - Men,74.8
2022-Q2,Bolivia,Informality - Productivity definition - Total,74.8
2019-Q1,Chile,Wage Employment (% of workers) - Women,74.8
2017-Q4,Argentina,Wage Employment (% of workers) - Total,74.8
2021-Q3,Bolivia,Informality - Productivity definition - Total,74.8
2021-Q3,Chile,Wage Employment (% of workers) - Total,74.8
2024-Q1,Costa Rica,Wage Employment (% of workers) - Total,74.8
2019-Q4,Uruguay,Wage Employment (% of workers) - Women,74.8
2019-Q1,Costa Rica,Wage Employment (% of workers) - Total,74.7
2024-Q2,Chile,Wage Employment (% of workers) - Men,74.7
2024-Q1,Brazil,Wage Employment (% of workers) - Women,74.7
2023-Q2,Chile,Wage Employment (% of workers) - Men,74.7
2024-Q1,Argentina,Wage Employment (% of workers) - Total,74.7
2023-Q4,Brazil,Wage Employment (% of workers) - Women,74.7
2019-Q3,Uruguay,Wage Employment (% of workers) - Women,74.7
2018-Q1,Costa Rica,Wage Employment (% of workers) - Men,74.6
2018-Q4,Costa Rica,Wage Employment (% of workers) - Total,74.6
2018-Q4,Chile,Wage Employment (% of workers) - Women,74.6
2017-Q1,Brazil,Wage Employment (% of workers) - Women,74.6
2023-Q3,Brazil,Wage Employment (% of workers) - Women,74.5
2018-Q4,Argentina,Wage Employment (% of workers) - Total,74.5
2021-Q4,Chile,Wage Employment (% of workers) - Total,74.5
2019-Q1,Argentina,Wage Employment (% of workers) - Total,74.5
2022-Q2,Chile,Wage Employment (% of workers) - Men,74.5
2022-Q4,Bolivia,Informality - Productivity definition - Total,74.5
2017-Q3,Argentina,Wage Employment (% of workers) - Total,74.5
2017-Q2,Brazil,Wage Employment (% of workers) - Women,74.4
2023-Q4,Chile,Wage Employment (% of workers) - Men,74.4
2016-Q1,Chile,Wage Employment (% of workers) - Total,74.4
2024-Q1,Uruguay,Wage Employment (% of workers) - Women,74.4
2017-Q1,Bolivia,Informality - Productivity definition - Women,74.4
2023-Q3,Chile,Wage Employment (% of workers) - Men,74.4
2020-Q1,Bolivia,Informality - Productivity definition - Total,74.4
2016-Q2,Bolivia,Informality - Productivity definition - Women,74.3
2022-Q3,Bolivia,Informality - Productivity definition - Total,74.3
2023-Q2,Brazil,Wage Employment (% of workers) - Women,74.3
2022-Q3,Chile,Wage Employment (% of workers) - Men,74.3
2016-Q2,Chile,Wage Employment (% of workers) - Women,74.3
2018-Q2,Uruguay,Wage Employment (% of workers) - Women,74.3
2022-Q3,Costa Rica,Wage Employment (% of workers) - Total,74.2
2024-Q3,Costa Rica,Wage Employment (% of workers) - Total,74.2
2017-Q1,Argentina,Wage Employment (% of workers) - Total,74.2
2023-Q1,Argentina,Wage Employment (% of workers) - Total,74.2
2023-Q2,Argentina,Wage Employment (% of workers) - Total,74.2
2023-Q1,Bolivia,Informality - Productivity definition - Total,74.2
2019-Q2,Argentina,Wage Employment (% of workers) - Total,74.2
2017-Q4,Costa Rica,Wage Employment (% of workers) - Men,74.1
2016-Q2,Costa Rica,Wage Employment (% of workers) - Men,74.1
2016-Q1,Chile,Wage Employment (% of workers) - Men,74.1
2021-Q1,Bolivia,Informality - Productivity definition - Men,74.1
2019-Q3,Chile,Wage Employment (% of workers) - Women,74.1
2018-Q3,Argentina,Wage Employment (% of workers) - Total,74.1
2017-Q1,Costa Rica,Wage Employment (% of workers) - Men,74.1
2019-Q2,Chile,Wage Employment (% of workers) - Women,74.1
2018-Q2,Costa Rica,Wage Employment (% of workers) - Total,74.1
2018-Q3,Chile,Wage Employment (% of workers) - Women,74.0
2018-Q2,Argentina,Wage Employment (% of workers) - Total,74.0
2017-Q4,Chile,Wage Employment (% of workers) - Women,74.0
2023-Q1,Brazil,Wage Employment (% of workers) - Women,74.0
2021-Q2,Bolivia,Informality - Productivity definition - Men,73.9
2019-Q4,Chile,Wage Employment (% of workers) - Women,73.9
2022-Q1,Uruguay,Wage Employment (% of workers) - Women,73.9
2018-Q2,Chile,Wage Employment (% of workers) - Women,73.9
2016-Q4,Bolivia,Informality - Productivity definition - Women,73.9
2017-Q2,Bolivia,Informality - Productivity definition - Women,73.9
2017-Q3,Costa Rica,Wage Employment (% of workers) - Men,73.9
2021-Q3,Chile,Wage Employment (% of workers) - Men,73.9
2021-Q4,Chile,Wage Employment (% of workers) - Men,73.8
2023-Q3,Uruguay,Wage Employment (% of workers) - Women,73.8
2017-Q3,Brazil,Wage Employment (% of workers) - Women,73.8
2017-Q1,Chile,Wage Employment (% of workers) - Women,73.8
2017-Q3,Bolivia,Informality - Productivity definition - Women,73.8
2016-Q4,Costa Rica,Wage Employment (% of workers) - Men,73.8
2016-Q3,Costa Rica,Wage Employment (% of workers) - Men,73.8
2024-Q2,Argentina,Wage Employment (% of workers) - Total,73.8
2016-Q3,Chile,Wage Employment (% of workers) - Women,73.7
2018-Q2,Brazil,Wage Employment (% of workers) - Women,73.7
2023-Q2,Uruguay,Wage Employment (% of workers) - Women,73.7
2023-Q4,Argentina,Wage Employment (% of workers) - Total,73.7
2016-Q2,Chile,Wage Employment (% of workers) - Total,73.6
2022-Q4,Argentina,Wage Employment (% of workers) - Total,73.6
2017-Q4,Brazil,Wage Employment (% of workers) - Women,73.6
2020-Q2,Brazil,Wage Employment (% of workers) - Women,73.6
2022-Q2,Argentina,Wage Employment (% of workers) - Total,73.6
2022-Q2,Uruguay,Wage Employment (% of workers) - Women,73.6
2020-Q1,Argentina,Wage Employment (% of workers) - Total,73.6
2022-Q4,Brazil,Wage Employment (% of workers) - Women,73.6
2018-Q3,Brazil,Wage Employment (% of workers) - Women,73.5
2018-Q4,Costa Rica,Wage Employment (% of workers) - Men,73.5
2018-Q1,Argentina,Wage Employment (% of workers) - Men,73.5
2022-Q1,Argentina,Wage Employment (% of workers) - Total,73.5
2024-Q1,Bolivia,Informality - Productivity definition - Total,73.5
2018-Q1,Brazil,Wage Employment (% of workers) - Women,73.5
2022-Q3,Uruguay,Wage Employment (% of workers) - Women,73.5
2017-Q2,Chile,Wage Employment (% of workers) - Women,73.5
2022-Q2,Costa Rica,Wage Employment (% of workers) - Total,73.5
2022-Q4,Costa Rica,Wage Employment (% of workers) - Total,73.5
2019-Q4,Bolivia,Informality - Productivity definition - Total,73.4
2016-Q1,Bolivia,Informality - Productivity definition - Women,73.4
2018-Q3,Costa Rica,Wage Employment (% of workers) - Men,73.4
2021-Q1,Argentina,Wage Employment (% of workers) - Women,73.4
2021-Q3,Costa Rica,Wage Employment (% of workers) - Total,73.4
2023-Q2,Bolivia,Informality - Productivity definition - Total,73.3
2023-Q2,Costa Rica,Wage Employment (% of workers) - Men,73.3
2023-Q1,Costa Rica,Wage Employment (% of workers) - Men,73.3
2018-Q4,Brazil,Wage Employment (% of workers) - Women,73.2
2020-Q1,Costa Rica,Wage Employment (% of workers) - Total,73.2
2018-Q1,Chile,Wage Employment (% of workers) - Total,73.2
2024-Q4,Costa Rica,Wage Employment (% of workers) - Total,73.2
2021-Q4,Bolivia,Informality - Productivity definition - Men,73.2
2016-Q3,Bolivia,Informality - Productivity definition - Women,73.2
2016-Q4,Chile,Wage Employment (% of workers) - Men,73.1
2019-Q1,Costa Rica,Wage Employment (% of workers) - Men,73.1
2019-Q4,Costa Rica,Wage Employment (% of workers) - Total,73.1
2022-Q3,Brazil,Wage Employment (% of workers) - Women,73.1
2023-Q3,Costa Rica,Wage Employment (% of workers) - Men,73.1
2016-Q2,Chile,Wage Employment (% of workers) - Men,73.1
2016-Q4,Chile,Wage Employment (% of workers) - Total,73.1
2016-Q4,Chile,Wage Employment (% of workers) - Women,73.1
2023-Q4,Uruguay,Wage Employment (% of workers) - Women,73.1
2020-Q1,Brazil,Wage Employment (% of workers) - Women,73.1
2021-Q2,Costa Rica,Wage Employment (% of workers) - Total,73.1
2024-Q1,Argentina,Wage Employment (% of workers) - Men,73.1
2019-Q3,Brazil,Wage Employment (% of workers) - Women,73.1
2019-Q4,Brazil,Wage Employment (% of workers) - Women,73.1
2018-Q4,Chile,Wage Employment (% of workers) - Total,73.0
2019-Q3,Chile,Wage Employment (% of workers) - Total,73.0
2019-Q1,Chile,Wage Employment (% of workers) - Total,73.0
2016-Q3,Chile,Wage Employment (% of workers) - Total,73.0
2019-Q2,Brazil,Wage Employment (% of workers) - Women,73.0
2024-Q3,Argentina,Wage Employment (% of workers) - Total,73.0
2019-Q2,Costa Rica,Wage Employment (% of workers) - Total,73.0
2024-Q2,Bolivia,Informality - Productivity definition - Total,73.0
2023-Q3,Bolivia,Informality - Productivity definition - Total,73.0
2021-Q4,Argentina,Wage Employment (% of workers) - Total,73.0
2019-Q1,Brazil,Wage Employment (% of workers) - Women,73.0
2022-Q1,Costa Rica,Wage Employment (% of workers) - Total,72.9
2017-Q2,Chile,Wage Employment (% of workers) - Total,72.9
2023-Q3,Argentina,Wage Employment (% of workers) - Men,72.9
2018-Q2,Chile,Wage Employment (% of workers) - Total,72.9
2017-Q1,Chile,Wage Employment (% of workers) - Total,72.9
2016-Q1,Bolivia,Informality - Productivity definition - Total,72.9
2022-Q1,Bolivia,Informality - Productivity definition - Men,72.9
2018-Q2,Costa Rica,Wage Employment (% of workers) - Men,72.8
2020-Q3,Brazil,Wage Employment (% of workers) - Women,72.8
2018-Q4,Bolivia,Informality - Productivity definition - Total,72.8
2018-Q1,Bolivia,Informality - Productivity definition - Total,72.8
2017-Q3,Chile,Wage Employment (% of workers) - Women,72.8
2022-Q2,Brazil,Wage Employment (% of workers) - Women,72.8
2022-Q4,Uruguay,Wage Employment (% of workers) - Women,72.8
2017-Q2,Argentina,Wage Employment (% of workers) - Men,72.7
2019-Q4,Chile,Wage Employment (% of workers) - Total,72.7
2019-Q3,Argentina,Wage Employment (% of workers) - Total,72.7
2019-Q3,Costa Rica,Wage Employment (% of workers) - Total,72.6
2023-Q4,Costa Rica,Wage Employment (% of workers) - Men,72.6
2022-Q2,Bolivia,Informality - Productivity definition - Men,72.6
2020-Q4,Costa Rica,Wage Employment (% of workers) - Total,72.6
2017-Q4,Chile,Wage Employment (% of workers) - Total,72.6
2019-Q4,Argentina,Wage Employment (% of workers) - Total,72.6
2023-Q1,Bolivia,Informality - Productivity definition - Men,72.6
2022-Q1,Brazil,Wage Employment (% of workers) - Women,72.6
2016-Q1,Bolivia,Informality - Productivity definition - Men,72.6
2021-Q2,Argentina,Wage Employment (% of workers) - Total,72.6
2016-Q2,Argentina,Wage Employment (% of workers) - Men,72.6
2017-Q2,Costa Rica,Wage Employment (% of workers) - Men,72.6
2016-Q3,Argentina,Wage Employment (% of workers) - Men,72.6
2018-Q3,Chile,Wage Employment (% of workers) - Total,72.5
2022-Q4,Bolivia,Informality - Productivity definition - Men,72.5
2019-Q2,Chile,Wage Employment (% of workers) - Total,72.5
2016-Q3,Chile,Wage Employment (% of workers) - Men,72.5
2022-Q3,Bolivia,Informality - Productivity definition - Men,72.5
2022-Q3,Argentina,Wage Employment (% of workers) - Total,72.5
2020-Q2,Costa Rica,Wage Employment (% of workers) - Men,72.5
2017-Q3,Uruguay,Wage Employment (% of workers) - Total,72.4
2019-Q3,Bolivia,Informality - Productivity definition - Total,72.4
2017-Q2,Chile,Wage Employment (% of workers) - Men,72.4
2018-Q1,Uruguay,Wage Employment (% of workers) - Total,72.4
2023-Q4,Bolivia,Informality - Productivity definition - Total,72.3
2019-Q1,Argentina,Wage Employment (% of workers) - Men,72.3
2020-Q4,Brazil,Wage Employment (% of workers) - Women,72.3
2018-Q2,Bolivia,Informality - Productivity definition - Total,72.3
2022-Q3,Costa Rica,Wage Employment (% of workers) - Men,72.2
2017-Q4,Uruguay,Wage Employment (% of workers) - Total,72.2
2024-Q2,Costa Rica,Wage Employment (% of workers) - Men,72.2
2016-Q1,Peru,Informality - Productivity definition - Total,72.2
2018-Q2,Chile,Wage Employment (% of workers) - Men,72.2
2022-Q3,Ecuador,Informality - Productivity definition - Women,72.2
2017-Q1,Chile,Wage Employment (% of workers) - Men,72.2
2024-Q1,Costa Rica,Wage Employment (% of workers) - Men,72.2
2020-Q1,Bolivia,Informality - Productivity definition - Men,72.2
2021-Q3,Bolivia,Informality - Productivity definition - Men,72.2
2024-Q4,Ecuador,Informality - Productivity definition - Women,72.2
2018-Q3,Uruguay,Wage Employment (% of workers) - Total,72.1
2016-Q3,Uruguay,Wage Employment (% of workers) - Total,72.1
2023-Q2,Argentina,Wage Employment (% of workers) - Men,72.1
2016-Q4,Uruguay,Wage Employment (% of workers) - Total,72.1
2019-Q1,Uruguay,Wage Employment (% of workers) - Total,72.1
2021-Q4,Brazil,Wage Employment (% of workers) - Women,72.1
2024-Q2,Argentina,Wage Employment (% of workers) - Men,72.1
2024-Q2,Uruguay,Wage Employment (% of workers) - Women,72.1
2021-Q3,Argentina,Wage Employment (% of workers) - Total,72.1
2021-Q1,Costa Rica,Wage Employment (% of workers) - Total,72.1
2019-Q3,Chile,Wage Employment (% of workers) - Men,72.1
2018-Q3,Argentina,Wage Employment (% of workers) - Men,72.0
2017-Q3,Chile,Wage Employment (% of workers) - Total,72.0
2023-Q1,Argentina,Wage Employment (% of workers) - Men,72.0
2021-Q1,Argentina,Wage Employment (% of workers) - Total,71.9
2021-Q2,Ecuador,Informality - Productivity definition - Women,71.9
2020-Q4,Argentina,Wage Employment (% of workers) - Women,71.9
2023-Q4,Ecuador,Informality - Productivity definition - Women,71.9
2022-Q2,Costa Rica,Wage Employment (% of workers) - Men,71.9
2016-Q1,Uruguay,Wage Employment (% of workers) - Total,71.9
2017-Q1,El Salvador,Wage Employment (% of workers) - Men,71.9
2019-Q4,Uruguay,Wage Employment (% of workers) - Total,71.9
2017-Q4,Argentina,Wage Employment (% of workers) - Men,71.9
2021-Q1,Brazil,Wage Employment (% of workers) - Women,71.8
2018-Q4,Chile,Wage Employment (% of workers) - Men,71.8
2019-Q1,Bolivia,Informality - Productivity definition - Total,71.8
2019-Q4,Chile,Wage Employment (% of workers) - Men,71.8
2021-Q2,Peru,Informality - Productivity definition - Women,71.8
2023-Q2,Uruguay,Wage Employment (% of workers) - Total,71.8
2023-Q1,Uruguay,Wage Employment (% of workers) - Women,71.8
2019-Q2,Argentina,Wage Employment (% of workers) - Men,71.8
2017-Q2,Uruguay,Wage Employment (% of workers) - Total,71.7
2018-Q3,Bolivia,Informality - Productivity definition - Total,71.7
2024-Q1,Uruguay,Wage Employment (% of workers) - Total,71.7
2017-Q1,Bolivia,Informality - Productivity definition - Total,71.7
2019-Q1,Chile,Wage Employment (% of workers) - Men,71.7
2018-Q2,Argentina,Wage Employment (% of workers) - Men,71.7
2020-Q1,Dominican Republic,Wage Employment (% of workers) - Women,71.7
2018-Q1,Chile,Wage Employment (% of workers) - Men,71.7
2019-Q4,Costa Rica,Wage Employment (% of workers) - Men,71.7
2020-Q2,Peru,Wage Employment (% of workers) - Women,71.7
2021-Q4,Ecuador,Informality - Productivity definition - Women,71.7
2017-Q3,Argentina,Wage Employment (% of workers) - Men,71.7
2024-Q3,Costa Rica,Wage Employment (% of workers) - Men,71.7
2023-Q1,Ecuador,Informality - Productivity definition - Women,71.7
2016-Q4,Argentina,Wage Employment (% of workers) - Men,71.7
2017-Q4,Chile,Wage Employment (% of workers) - Men,71.6
2022-Q4,Ecuador,Informality - Productivity definition - Women,71.6
2020-Q1,Costa Rica,Wage Employment (% of workers) - Men,71.6
2018-Q4,Argentina,Wage Employment (% of workers) - Men,71.6
2021-Q4,Costa Rica,Wage Employment (% of workers) - Total,71.6
2022-Q2,Argentina,Wage Employment (% of workers) - Men,71.6
2021-Q2,Brazil,Wage Employment (% of workers) - Women,71.5
2019-Q2,Bolivia,Informality - Productivity definition - Total,71.5
